CashCashEquivalents,TotalDebt,StockPrice,MarketCapitalization,date,NumberofShares,EnterpriseValue,Ticker
11356000000,72178000000,123.68,9.49E+11,6/30/2019,7.67E+09,1.01E+12,MSFT
11946000000,76240000000,98.84,7.61E+11,6/30/2018,7.70E+09,8.25E+11,MSFT
7663000000,77122000000,69.84,5.41E+11,6/30/2017,7.75E+09,6.10E+11,MSFT
6510000000,40783000000,53,4.20E+11,6/30/2016,7.93E+09,4.54E+11,MSFT
5595000000,30307000000,47.23,3.86E+11,6/30/2015,8.18E+09,4.11E+11,MSFT
8669000000,20645000000,40.79,3.39E+11,6/30/2014,8.30E+09,3.50E+11,MSFT
3804000000,15600000000,34.9,2.92E+11,6/30/2013,8.38E+09,3.04E+11,MSFT
